id,created,amount,currency,local_amount,local_currency,category,emoji,description,address,notes,receipt
tx_00009LpddABmeH17euYBsH,2017-06-26 11:40:58 +0000,-1.00,GBP,-1.00,GBP,groceries,🍏,Tesco,"Hammersmith Broadway, London W6 9YD",
tx_00009Lq2RH2VqnzUYY5mpl,2017-06-26 16:18:56 +0000,-1.60,GBP,-1.60,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LqJnwB5HL16FRnPDl,2017-06-26 19:33:31 +0000,-8.23,GBP,-8.23,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LrpHmzPISIFfBhrwf,2017-06-27 13:00:59 +0000,100.00,GBP,100.00,GBP,monzo,,,,
tx_00009LrpVuB1N4EdKCFuVN,2017-06-27 13:03:31 +0000,-4.12,GBP,-4.12,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LsBLo9f6UH1QZpByr,2017-06-27 17:08:13 +0000,-3.75,GBP,-3.75,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009Ltkr0Gxn6u5XboIvB,2017-06-28 11:20:44 +0000,-4.12,GBP,-4.12,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LtmHfKvq3IcNkwamX,2017-06-28 11:36:46 +0000,-1.14,GBP,-1.14,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LtnjJF5g4ppEkLJnV,2017-06-28 11:52:58 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LuzxTQA1YPy9QcDrd,2017-06-29 01:44:42 +0000,-8.00,GBP,-8.00,GBP,transport,🚅,Transport for London,Online transaction,
tx_00009LvoQthSOTckGwEOzh,2017-06-29 11:10:16 +0000,-3.99,GBP,-3.99,GBP,eating_out,🍔,McDonald's,"134 Tottenham Court Road, Camden, London W1T 5BA",
tx_00009LvvxPZ29tJdWxRNdR,2017-06-29 12:34:35 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LwPDD2NOiK1IeR70z,2017-06-29 18:02:23 +0000,-5.99,GBP,-5.99,GBP,eating_out,🐔,Chicken Cottage,"82 North End Road, London W14 9ES",
tx_00009LwezQGD2IvOieGpg9,2017-06-29 20:59:09 +0000,-2.99,GBP,-2.99,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009Lwz1kB5x79A9eGLJp,2017-06-30 00:43:41 +0000,0.30,GBP,0.30,GBP,transport,🚅,Transport for London,"Victoria Street, London SW1H 0TL",
tx_00009Lx5GNRDNgU7BTrU49,2017-06-30 01:53:34 +0000,-6.60,GBP,-6.60,GBP,transport,🚅,Transport for London,Online transaction,
tx_00009LxqaBpwv1OZLzgM09,2017-06-30 10:43:47 +0000,-6.26,GBP,-6.26,GBP,groceries,🍏,Sainsbury's,"158a Cromwell Road, London SW7 4EJ",
tx_00009LxtsU4QAKvJmZwxd3,2017-06-30 11:20:42 +0000,-6.90,GBP,-6.90,GBP,eating_out,🍣,Wasabi,"Hammersmith Rd, London W6 9YA",
